,date,pair,rolling_correlation
351,2018-05-25,rolling_corr_BTC_SPY_30,-0.0417733533415386
352,2018-05-29,rolling_corr_BTC_SPY_30,-0.04630438491067502
353,2018-05-30,rolling_corr_BTC_SPY_30,0.1040717872036254
354,2018-05-31,rolling_corr_BTC_SPY_30,0.11309963634948818
355,2018-06-01,rolling_corr_BTC_SPY_30,0.1682628716672978
356,2018-06-04,rolling_corr_BTC_SPY_30,0.19903342565947144
357,2018-06-05,rolling_corr_BTC_SPY_30,0.19702468441577217
358,2018-06-06,rolling_corr_BTC_SPY_30,0.2814327295886242
359,2018-06-07,rolling_corr_BTC_SPY_30,0.29850857036785483
360,2018-06-08,rolling_corr_BTC_SPY_30,0.47282478487119944
361,2018-06-11,rolling_corr_BTC_SPY_30,0.43469538058917556
362,2018-06-12,rolling_corr_BTC_SPY_30,0.4705076263355368
363,2018-06-13,rolling_corr_BTC_SPY_30,0.4875726135403141
364,2018-06-14,rolling_corr_BTC_SPY_30,0.47966792235747857
365,2018-06-15,rolling_corr_BTC_SPY_30,0.44260293376529564
366,2018-06-18,rolling_corr_BTC_SPY_30,0.35820648735695415
367,2018-06-19,rolling_corr_BTC_SPY_30,0.2996563158316848
368,2018-06-20,rolling_corr_BTC_SPY_30,0.29744460196097283
369,2018-06-21,rolling_corr_BTC_SPY_30,0.3114181409456601
370,2018-06-22,rolling_corr_BTC_SPY_30,0.29059153494449597
371,2018-06-25,rolling_corr_BTC_SPY_30,0.27048177116075395
372,2018-06-26,rolling_corr_BTC_SPY_30,0.27814250563842857
373,2018-06-27,rolling_corr_BTC_SPY_30,0.3118075188680008
374,2018-06-28,rolling_corr_BTC_SPY_30,0.33948952747375055
375,2018-06-29,rolling_corr_BTC_SPY_30,0.3202421650309596
376,2018-07-02,rolling_corr_BTC_SPY_30,0.31216836034988876
377,2018-07-03,rolling_corr_BTC_SPY_30,0.23216775846554444
378,2018-07-05,rolling_corr_BTC_SPY_30,0.24414746227424164
379,2018-07-06,rolling_corr_BTC_SPY_30,0.2582980637459849
380,2018-07-09,rolling_corr_BTC_SPY_30,0.23091856517868165
381,2018-07-10,rolling_corr_BTC_SPY_30,0.23789397940354207
382,2018-07-11,rolling_corr_BTC_SPY_30,0.2523847745354691
383,2018-07-12,rolling_corr_BTC_SPY_30,0.17251415872443754
384,2018-07-13,rolling_corr_BTC_SPY_30,0.16629075692671558
385,2018-07-16,rolling_corr_BTC_SPY_30,0.12696821477460604
386,2018-07-17,rolling_corr_BTC_SPY_30,0.1493386847708248
387,2018-07-18,rolling_corr_BTC_SPY_30,0.1534212206767623
388,2018-07-19,rolling_corr_BTC_SPY_30,0.12747891522542648
389,2018-07-20,rolling_corr_BTC_SPY_30,0.12411065120448715
390,2018-07-23,rolling_corr_BTC_SPY_30,0.12228142114174136
391,2018-07-24,rolling_corr_BTC_SPY_30,0.18992209604298524
392,2018-07-25,rolling_corr_BTC_SPY_30,0.2781475813594269
393,2018-07-26,rolling_corr_BTC_SPY_30,0.26671254351811635
394,2018-07-27,rolling_corr_BTC_SPY_30,0.32789003423843605
395,2018-07-30,rolling_corr_BTC_SPY_30,0.3569822702156708
396,2018-07-31,rolling_corr_BTC_SPY_30,0.33816778855086743
397,2018-08-01,rolling_corr_BTC_SPY_30,0.3793107390283894
398,2018-08-02,rolling_corr_BTC_SPY_30,0.35754082777450424
399,2018-08-03,rolling_corr_BTC_SPY_30,0.35851019635200315
400,2018-08-06,rolling_corr_BTC_SPY_30,0.3589527285762738
